first_mps,second_mps,result,time,warmstart_type,configuration
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_051.mps,UNSAT,0.006337,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps,UNSAT,0.006488,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_053.mps,UNSAT,0.006363,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_047.mps,UNSAT,0.006505,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_063.mps,UNSAT,0.006491,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_059.mps,UNSAT,0.006498,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_055.mps,UNSAT,0.006438,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_049.mps,UNSAT,0.006694,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_045.mps,UNSAT,0.006874,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_031.mps,UNSAT,0.006966,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_033.mps,UNSAT,0.00695,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_043.mps,UNSAT,0.006686,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_027.mps,UNSAT,0.006966,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_039.mps,UNSAT,0.006838,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_035.mps,UNSAT,0.006438,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_037.mps,UNSAT,0.009063,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_029.mps,UNSAT,0.006407,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_059.mps,UNSAT,0.012485,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_045.mps,UNSAT,0.012389,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_041.mps,UNSAT,0.012828,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_047.mps,UNSAT,0.01287,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_057.mps,UNSAT,0.01302,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_043.mps,UNSAT,0.012727,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_051.mps,UNSAT,0.013721,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_049.mps,UNSAT,0.012678,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_055.mps,UNSAT,0.012219,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_053.mps,UNSAT,0.012315,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_031.mps,UNSAT,0.006182,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_029.mps,UNSAT,0.006495,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_051.mps,UNSAT,0.006881,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_035.mps,UNSAT,0.00667,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_025.mps,UNSAT,0.00662,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_061.mps,UNSAT,0.007512,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_025.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_043.mps,UNSAT,0.005542,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_027.mps,UNSAT,0.006281,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_037.mps,UNSAT,0.00585,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_033.mps,UNSAT,0.00585,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_025.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_035.mps,UNSAT,0.005717,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_023.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_043.mps,UNSAT,0.006378,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_025.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_039.mps,UNSAT,0.006416,UNSAT-UNSAT,None
