Unnamed: 0,epsilon_value,result,time,verifier,obtained_labels,network_name,image_name,mps_path
10,0.081,TIMEOUT,3600.042895793915,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_081.mps
11,0.301,TIMEOUT,3600.0625314712524,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_301.mps
12,0.061,TIMEOUT,3600.040783882141,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_061.mps
13,0.321,TIMEOUT,3600.072337865829,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_321.mps
14,0.041,TIMEOUT,3600.0503261089325,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_041.mps
15,0.341,TIMEOUT,3600.075843811035,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_341.mps
16,0.021,UNSAT,0.266,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_021.mps
17,0.361,TIMEOUT,3600.0657744407654,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_361.mps
18,0.381,TIMEOUT,3600.07703781128,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_381.mps
20,0.023,UNSAT,1.601,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_023.mps
21,0.025,UNSAT,12.909,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_025.mps
22,0.027,UNSAT,19.98,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_027.mps
23,0.029,UNSAT,48.839,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_029.mps
24,0.031,UNSAT,126.283,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_031.mps
25,0.033,UNSAT,222.064,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_033.mps
26,0.035,UNSAT,2128.173,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_035.mps
27,0.037,UNSAT,2483.614,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_037.mps
28,0.039,SAT,230.548,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_039.mps
29,0.041,TIMEOUT,3600.04183793068,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_041.mps
0,0.181,SAT,2279.794,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_181.mps
1,0.081,TIMEOUT,3600.050412893296,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_081.mps
2,0.061,UNSAT,1012.871,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_061.mps
3,0.121,TIMEOUT,3600.052404880524,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_121.mps
4,0.141,TIMEOUT,3600.0641117095947,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_141.mps
5,0.101,SAT,1280.894,Symphony,,mnist-net_256x2,image_9,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_101.mps
